Occupation,Area Name,Employment,Employment percent relative standard error,Hourly mean wage,Annual mean wage,Wage percent relative standard error,Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage,Annual 25th percentile wage,Annual median wage,Annual 75th percentile wage,Annual 90th percentile wage,"Employment per 1,000 jobs",Location Quotient
Data Scientists (SOC code 15-2051),Alabama (01-00000),"1,620.00",18.80,49.51,"102,970.00",4.00,29.72,36.63,50.68,61.66,71.14,"61,810.00","76,180.00","105,410.00","128,250.00","147,980.00",0.77,0.51
Data Scientists (SOC code 15-2051),Alaska (02-00000),210.00,9.90,42.64,"88,690.00",3.70,22.92,26.94,37.21,56.00,64.98,"47,670.00","56,020.00","77,400.00","116,470.00","135,160.00",0.65,0.43
Data Scientists (SOC code 15-2051),Arizona (04-00000),"4,080.00",14.10,54.07,"112,460.00",2.80,32.17,39.02,51.00,64.67,79.39,"66,910.00","81,170.00","106,080.00","134,510.00","165,120.00",1.27,0.84
Data Scientists (SOC code 15-2051),Arkansas (05-00000),470.00,30.00,50.27,"104,560.00",6.00,27.80,39.60,50.15,60.28,78.90,"57,830.00","82,370.00","104,320.00","125,390.00","164,120.00",0.37,0.24
Data Scientists (SOC code 15-2051),California (06-00000),"36,850.00",3.20,74.74,"155,450.00",3.20,35.29,47.34,65.77,85.33,106.29,"73,390.00","98,460.00","136,800.00","177,480.00","221,080.00",2.04,1.35
Data Scientists (SOC code 15-2051),Colorado (08-00000),"6,750.00",7.00,56.85,"118,250.00",3.10,32.37,41.62,51.20,63.89,82.70,"67,330.00","86,560.00","106,500.00","132,890.00","172,010.00",2.33,1.54
Data Scientists (SOC code 15-2051),Connecticut (09-00000),"1,630.00",9.90,57.82,"120,270.00",2.20,31.36,45.75,52.87,67.66,86.97,"65,220.00","95,160.00","109,960.00","140,740.00","180,890.00",0.97,0.64
Data Scientists (SOC code 15-2051),Delaware (10-00000),540.00,8.50,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,1.13,0.75
Data Scientists (SOC code 15-2051),District of Columbia (11-00000),"3,580.00",13.40,71.24,"148,170.00",5.10,39.52,49.25,65.92,100.29,100.29,"82,210.00","102,440.00","137,120.00","208,600.00","208,600.00",5.05,3.33
Data Scientists (SOC code 15-2051),Florida (12-00000),"9,480.00",6.40,56.57,"117,670.00",2.60,28.58,38.29,50.88,65.16,93.04,"59,440.00","79,650.00","105,820.00","135,530.00","193,530.00",0.96,0.64
Data Scientists (SOC code 15-2051),Georgia (13-00000),"7,730.00",4.50,53.38,"111,020.00",1.20,30.44,38.90,49.34,64.15,79.80,"63,320.00","80,920.00","102,630.00","133,430.00","165,980.00",1.59,1.05
Data Scientists (SOC code 15-2051),Hawaii (15-00000),240.00,16.20,59.87,"124,530.00",6.10,40.00,42.95,59.56,75.26,82.76,"83,200.00","89,340.00","123,880.00","156,540.00","172,150.00",0.38,0.25
Data Scientists (SOC code 15-2051),Idaho (16-00000),980.00,10.20,57.89,"120,410.00",5.50,32.47,37.96,52.57,70.03,94.74,"67,550.00","78,960.00","109,340.00","145,670.00","197,050.00",1.16,0.76
Data Scientists (SOC code 15-2051),Illinois (17-00000),"7,390.00",6.40,57.22,"119,010.00",1.40,31.45,39.43,54.56,70.74,82.80,"65,420.00","82,010.00","113,490.00","147,130.00","172,220.00",1.22,0.80
Data Scientists (SOC code 15-2051),Indiana (18-00000),"3,120.00",6.10,44.53,"92,620.00",3.80,24.93,32.12,40.41,53.26,64.71,"51,860.00","66,800.00","84,050.00","110,770.00","134,600.00",0.98,0.65
Data Scientists (SOC code 15-2051),Iowa (19-00000),"2,330.00",5.20,46.78,"97,300.00",2.20,26.58,33.13,47.10,60.73,67.61,"55,290.00","68,910.00","97,980.00","126,310.00","140,620.00",1.49,0.98
Data Scientists (SOC code 15-2051),Kansas (20-00000),340.00,19.10,51.59,"107,300.00",8.50,22.09,39.96,53.04,63.52,71.56,"45,940.00","83,120.00","110,320.00","132,130.00","148,850.00",0.24,0.16
Data Scientists (SOC code 15-2051),Kentucky (21-00000),"1,700.00",12.40,48.28,"100,410.00",4.20,27.95,35.63,44.95,59.21,77.15,"58,130.00","74,110.00","93,490.00","123,150.00","160,460.00",0.85,0.56
Data Scientists (SOC code 15-2051),Louisiana (22-00000),"1,120.00",9.50,34.49,"71,740.00",3.10,24.00,26.96,33.91,38.91,44.84,"49,920.00","56,070.00","70,530.00","80,940.00","93,260.00",0.58,0.39
Data Scientists (SOC code 15-2051),Maine (23-00000),"1,040.00",15.00,48.99,"101,890.00",5.80,27.94,36.55,45.36,61.17,68.44,"58,120.00","76,020.00","94,350.00","127,230.00","142,350.00",1.64,1.08
Data Scientists (SOC code 15-2051),Maryland (24-00000),"3,400.00",10.30,65.08,"135,370.00",5.00,37.13,47.04,59.78,77.39,95.68,"77,230.00","97,850.00","124,340.00","160,980.00","199,020.00",1.24,0.82
Data Scientists (SOC code 15-2051),Massachusetts (25-00000),"9,990.00",7.50,67.15,"139,670.00",1.90,38.82,49.58,63.58,80.63,96.53,"80,740.00","103,130.00","132,250.00","167,710.00","200,770.00",2.74,1.81
Data Scientists (SOC code 15-2051),Michigan (26-00000),"6,450.00",4.10,49.05,"102,030.00",1.90,28.78,37.70,47.82,59.65,70.25,"59,860.00","78,410.00","99,470.00","124,070.00","146,120.00",1.47,0.97
Data Scientists (SOC code 15-2051),Minnesota (27-00000),"3,500.00",7.20,56.79,"118,110.00",3.20,28.34,40.87,56.65,69.33,82.34,"58,940.00","85,000.00","117,840.00","144,200.00","171,260.00",1.20,0.79
Data Scientists (SOC code 15-2051),Mississippi (28-00000),270.00,9.60,37.42,"77,830.00",3.50,20.65,25.95,33.38,46.71,53.85,"42,950.00","53,980.00","69,430.00","97,150.00","112,010.00",0.23,0.15
Data Scientists (SOC code 15-2051),Missouri (29-00000),"4,350.00",13.90,45.82,"95,310.00",3.80,24.87,29.77,41.14,59.22,73.38,"51,720.00","61,910.00","85,570.00","123,180.00","152,630.00",1.49,0.99
Data Scientists (SOC code 15-2051),Montana (30-00000),200.00,18.50,53.60,"111,490.00",5.20,36.36,43.72,51.37,55.11,78.11,"75,620.00","90,930.00","106,860.00","114,620.00","162,470.00",0.39,0.26
Data Scientists (SOC code 15-2051),Nebraska (31-00000),"1,850.00",9.50,46.98,"97,720.00",0.90,32.34,39.14,46.38,52.38,62.82,"67,270.00","81,400.00","96,470.00","108,940.00","130,670.00",1.82,1.20
Data Scientists (SOC code 15-2051),Nevada (32-00000),"1,230.00",8.10,47.51,"98,820.00",2.90,25.80,32.46,44.86,58.75,72.01,"53,670.00","67,520.00","93,310.00","122,200.00","149,780.00",0.80,0.53
Data Scientists (SOC code 15-2051),New Hampshire (33-00000),870.00,9.00,49.15,"102,230.00",2.20,30.97,37.76,47.58,59.87,70.07,"64,410.00","78,550.00","98,970.00","124,520.00","145,740.00",1.28,0.84
Data Scientists (SOC code 15-2051),New Jersey (34-00000),"5,860.00",7.50,63.36,"131,800.00",2.10,35.95,47.22,62.68,77.80,88.71,"74,780.00","98,220.00","130,370.00","161,830.00","184,520.00",1.38,0.91
Data Scientists (SOC code 15-2051),New Mexico (35-00000),510.00,16.60,41.60,"86,520.00",4.20,21.56,29.96,40.88,50.14,60.21,"44,840.00","62,310.00","85,040.00","104,290.00","125,230.00",0.59,0.39
Data Scientists (SOC code 15-2051),New York (36-00000),"20,070.00",4.30,64.16,"133,450.00",2.70,31.32,40.29,60.29,80.71,101.86,"65,150.00","83,800.00","125,400.00","167,880.00","211,860.00",2.10,1.39
Data Scientists (SOC code 15-2051),North Carolina (37-00000),"10,140.00",7.90,56.74,"118,020.00",4.00,28.00,38.58,55.47,70.60,83.26,"58,240.00","80,240.00","115,380.00","146,850.00","173,170.00",2.07,1.37
Data Scientists (SOC code 15-2051),North Dakota (38-00000),320.00,20.40,45.25,"94,130.00",5.60,27.91,35.91,46.26,57.82,59.29,"58,050.00","74,690.00","96,230.00","120,270.00","123,310.00",0.75,0.49
Data Scientists (SOC code 15-2051),Ohio (39-00000),"5,510.00",3.80,48.20,"100,260.00",2.20,25.73,34.45,47.41,60.80,73.11,"53,510.00","71,660.00","98,620.00","126,470.00","152,070.00",1.00,0.66
Data Scientists (SOC code 15-2051),Oklahoma (40-00000),"2,160.00",8.40,43.24,"89,940.00",3.80,26.41,31.97,38.64,51.69,70.28,"54,930.00","66,500.00","80,380.00","107,520.00","146,190.00",1.28,0.84
Data Scientists (SOC code 15-2051),Oregon (41-00000),"2,650.00",15.50,59.65,"124,060.00",3.60,33.93,45.24,51.01,74.15,92.38,"70,570.00","94,100.00","106,100.00","154,240.00","192,150.00",1.35,0.89
Data Scientists (SOC code 15-2051),Pennsylvania (42-00000),"10,430.00",5.00,51.66,"107,450.00",1.20,29.42,36.64,48.23,62.30,79.50,"61,190.00","76,220.00","100,320.00","129,590.00","165,360.00",1.73,1.15
Data Scientists (SOC code 15-2051),Puerto Rico (72-00000),120.00,13.30,34.79,"72,370.00",2.80,19.76,28.84,33.98,41.06,45.37,"41,110.00","59,990.00","70,690.00","85,400.00","94,380.00",0.12,0.08
Data Scientists (SOC code 15-2051),Rhode Island (44-00000),"1,190.00",14.90,57.41,"119,400.00",4.70,33.65,42.36,54.99,68.61,87.24,"69,990.00","88,100.00","114,390.00","142,710.00","181,460.00",2.41,1.59
Data Scientists (SOC code 15-2051),South Carolina (45-00000),"2,810.00",15.30,46.62,"96,970.00",4.80,27.42,35.12,43.59,52.22,72.37,"57,030.00","73,050.00","90,660.00","108,610.00","150,520.00",1.24,0.82
Data Scientists (SOC code 15-2051),South Dakota (46-00000),270.00,12.70,44.45,"92,460.00",1.80,29.92,37.79,44.23,52.86,56.67,"62,240.00","78,590.00","92,000.00","109,940.00","117,880.00",0.59,0.39
Data Scientists (SOC code 15-2051),Tennessee (47-00000),"2,550.00",9.10,55.21,"114,830.00",4.50,29.79,39.45,50.34,66.29,91.35,"61,960.00","82,060.00","104,700.00","137,880.00","190,000.00",0.78,0.51
Data Scientists (SOC code 15-2051),Texas (48-00000),"23,420.00",4.90,55.19,"114,800.00",1.40,29.44,39.01,51.22,66.15,81.40,"61,230.00","81,140.00","106,540.00","137,590.00","169,310.00",1.69,1.12
Data Scientists (SOC code 15-2051),Utah (49-00000),"4,830.00",8.00,57.52,"119,640.00",3.40,27.75,37.90,55.97,81.73,83.35,"57,720.00","78,840.00","116,420.00","170,000.00","173,370.00",2.83,1.87
Data Scientists (SOC code 15-2051),Vermont (50-00000),210.00,37.30,57.51,"119,630.00",4.30,35.70,39.95,58.01,69.97,75.85,"74,260.00","83,090.00","120,670.00","145,530.00","157,760.00",0.70,0.46
Data Scientists (SOC code 15-2051),Virginia (51-00000),"6,200.00",3.80,63.57,"132,230.00",1.30,37.78,45.49,60.61,79.51,94.92,"78,570.00","94,630.00","126,070.00","165,370.00","197,430.00",1.52,1.01
Data Scientists (SOC code 15-2051),Washington (53-00000),"7,930.00",10.20,78.24,"162,730.00",4.10,44.56,52.18,76.33,95.97,109.02,"92,680.00","108,530.00","158,760.00","199,620.00","226,760.00",2.24,1.48
Data Scientists (SOC code 15-2051),West Virginia (54-00000),220.00,12.40,49.41,"102,770.00",6.00,23.56,34.73,46.04,57.13,79.64,"49,000.00","72,250.00","95,760.00","118,820.00","165,660.00",0.32,0.21
Data Scientists (SOC code 15-2051),Wisconsin (55-00000),"3,640.00",5.20,50.74,"105,540.00",1.30,35.53,39.54,48.09,60.08,71.24,"73,900.00","82,230.00","100,020.00","124,960.00","148,180.00",1.24,0.82
Data Scientists (SOC code 15-2051),Wyoming (56-00000),8.00,8.00,41.10,"85,480.00",15.40,23.65,23.65,46.08,46.81,62.44,"49,190.00","49,190.00","95,840.00","97,370.00","129,880.00",8.00,8.00
Operations Research Analysts (SOC code 15-2031),Alabama (01-00000),500.00,2.70,56.91,"118,370.00",0.70,29.97,43.47,56.51,70.62,82.59,"62,340.00","90,420.00","117,540.00","146,890.00","171,790.00",0.24,0.34
Operations Research Analysts (SOC code 15-2031),Alaska (02-00000),60.00,8.90,49.44,"102,840.00",0.90,36.57,42.75,48.06,53.19,60.71,"76,060.00","88,930.00","99,960.00","110,640.00","126,270.00",0.19,0.27
Operations Research Analysts (SOC code 15-2031),Arizona (04-00000),"2,170.00",12.00,41.59,"86,510.00",3.80,24.41,31.01,40.14,49.04,61.48,"50,760.00","64,510.00","83,500.00","102,000.00","127,880.00",0.68,0.97
Operations Research Analysts (SOC code 15-2031),Arkansas (05-00000),140.00,21.90,36.38,"75,670.00",5.80,23.43,26.31,36.37,43.21,47.21,"48,720.00","54,720.00","75,650.00","89,870.00","98,200.00",0.11,0.16
Operations Research Analysts (SOC code 15-2031),California (06-00000),"11,030.00",4.50,52.03,"108,220.00",1.10,30.67,36.80,46.60,61.40,80.37,"63,790.00","76,540.00","96,920.00","127,710.00","167,170.00",0.61,0.87
Operations Research Analysts (SOC code 15-2031),Colorado (08-00000),910.00,9.60,52.58,"109,360.00",3.80,29.49,36.24,50.27,66.67,79.12,"61,350.00","75,370.00","104,560.00","138,680.00","164,580.00",0.31,0.45
Operations Research Analysts (SOC code 15-2031),Connecticut (09-00000),"1,020.00",11.70,46.50,"96,720.00",3.10,29.96,37.17,47.70,54.85,61.68,"62,310.00","77,310.00","99,210.00","114,090.00","128,290.00",0.61,0.87
Operations Research Analysts (SOC code 15-2031),Delaware (10-00000),600.00,4.00,49.70,"103,380.00",1.00,29.09,35.81,48.66,61.86,69.85,"60,510.00","74,480.00","101,210.00","128,670.00","145,290.00",1.25,1.79
Operations Research Analysts (SOC code 15-2031),District of Columbia (11-00000),"2,190.00",13.40,59.56,"123,890.00",4.80,30.04,37.25,55.76,80.42,94.79,"62,490.00","77,470.00","115,980.00","167,270.00","197,160.00",3.09,4.42
Operations Research Analysts (SOC code 15-2031),Florida (12-00000),"8,230.00",3.70,40.59,"84,420.00",1.60,21.60,28.05,37.34,49.28,62.19,"44,930.00","58,340.00","77,670.00","102,500.00","129,360.00",0.84,1.20
Operations Research Analysts (SOC code 15-2031),Georgia (13-00000),"4,450.00",5.20,39.21,"81,560.00",1.70,23.68,27.88,35.53,48.56,63.23,"49,250.00","57,980.00","73,890.00","101,000.00","131,530.00",0.92,1.31
Operations Research Analysts (SOC code 15-2031),Hawaii (15-00000),110.00,18.20,48.12,"100,090.00",3.90,28.76,32.75,46.94,59.56,75.05,"59,810.00","68,120.00","97,630.00","123,880.00","156,100.00",0.19,0.26
Operations Research Analysts (SOC code 15-2031),Idaho (16-00000),500.00,8.10,41.36,"86,030.00",2.30,23.55,28.77,37.24,48.32,70.65,"48,980.00","59,840.00","77,460.00","100,500.00","146,960.00",0.59,0.85
Operations Research Analysts (SOC code 15-2031),Illinois (17-00000),"5,020.00",11.40,53.00,"110,230.00",5.90,29.56,37.28,49.40,62.57,79.87,"61,480.00","77,540.00","102,750.00","130,140.00","166,130.00",0.83,1.18
Operations Research Analysts (SOC code 15-2031),Indiana (18-00000),"1,660.00",4.70,44.25,"92,040.00",1.10,27.89,31.35,40.46,51.29,64.33,"58,010.00","65,200.00","84,150.00","106,680.00","133,810.00",0.52,0.75
Operations Research Analysts (SOC code 15-2031),Iowa (19-00000),350.00,36.40,43.02,"89,480.00",14.90,18.56,28.71,37.57,56.69,65.72,"38,600.00","59,730.00","78,140.00","117,920.00","136,700.00",0.22,0.32
Operations Research Analysts (SOC code 15-2031),Kansas (20-00000),550.00,36.20,48.01,"99,860.00",1.20,29.28,38.77,47.95,59.15,67.35,"60,900.00","80,630.00","99,740.00","123,030.00","140,090.00",0.39,0.55
Operations Research Analysts (SOC code 15-2031),Kentucky (21-00000),920.00,11.80,42.78,"88,980.00",2.60,27.36,30.85,39.31,49.46,61.15,"56,910.00","64,170.00","81,760.00","102,870.00","127,200.00",0.46,0.66
Operations Research Analysts (SOC code 15-2031),Louisiana (22-00000),730.00,9.20,34.12,"70,970.00",4.40,26.30,27.96,30.89,33.62,48.01,"54,700.00","58,150.00","64,240.00","69,920.00","99,860.00",0.38,0.55
Operations Research Analysts (SOC code 15-2031),Maine (23-00000),360.00,15.50,45.55,"94,740.00",5.10,28.98,35.47,43.47,55.30,65.81,"60,270.00","73,780.00","90,420.00","115,020.00","136,890.00",0.57,0.82
Operations Research Analysts (SOC code 15-2031),Maryland (24-00000),"4,280.00",16.80,51.07,"106,230.00",5.30,22.60,34.03,48.55,69.00,84.88,"47,010.00","70,780.00","100,990.00","143,520.00","176,550.00",1.56,2.23
Operations Research Analysts (SOC code 15-2031),Massachusetts (25-00000),"4,860.00",11.10,47.52,"98,830.00",2.10,31.92,37.09,43.28,54.47,69.66,"66,390.00","77,150.00","90,030.00","113,290.00","144,900.00",1.33,1.91
Operations Research Analysts (SOC code 15-2031),Michigan (26-00000),"1,050.00",10.60,45.77,"95,200.00",4.10,29.72,34.97,40.43,50.31,70.54,"61,830.00","72,730.00","84,100.00","104,640.00","146,730.00",0.24,0.34
Operations Research Analysts (SOC code 15-2031),Minnesota (27-00000),"1,300.00",7.70,46.94,"97,620.00",2.00,29.09,35.46,42.90,52.78,64.92,"60,510.00","73,750.00","89,240.00","109,780.00","135,030.00",0.45,0.64
Operations Research Analysts (SOC code 15-2031),Mississippi (28-00000),130.00,7.30,41.54,"86,390.00",2.60,24.06,29.91,42.09,48.02,60.71,"50,050.00","62,210.00","87,550.00","99,880.00","126,280.00",0.11,0.16
Operations Research Analysts (SOC code 15-2031),Missouri (29-00000),"2,010.00",6.50,31.89,"66,330.00",2.00,22.28,22.39,26.75,33.87,57.69,"46,340.00","46,570.00","55,640.00","70,450.00","119,990.00",0.69,0.98
Operations Research Analysts (SOC code 15-2031),Montana (30-00000),160.00,6.50,36.17,"75,230.00",1.40,29.58,29.58,34.30,38.60,48.11,"61,520.00","61,520.00","71,350.00","80,290.00","100,070.00",0.31,0.44
Operations Research Analysts (SOC code 15-2031),Nebraska (31-00000),290.00,14.50,46.53,"96,790.00",2.60,28.25,31.43,46.63,57.69,69.72,"58,760.00","65,380.00","96,990.00","120,000.00","145,030.00",0.29,0.41
Operations Research Analysts (SOC code 15-2031),Nevada (32-00000),350.00,26.00,45.13,"93,880.00",5.40,29.66,33.30,39.48,55.71,69.95,"61,690.00","69,250.00","82,120.00","115,880.00","145,500.00",0.23,0.32
Operations Research Analysts (SOC code 15-2031),New Hampshire (33-00000),230.00,14.60,44.41,"92,380.00",6.70,27.71,34.93,41.53,51.88,64.43,"57,630.00","72,650.00","86,380.00","107,900.00","134,010.00",0.33,0.48
Operations Research Analysts (SOC code 15-2031),New Jersey (34-00000),"2,630.00",34.70,53.84,"111,990.00",2.20,32.32,38.85,48.66,64.96,78.32,"67,220.00","80,800.00","101,220.00","135,120.00","162,900.00",0.62,0.89
Operations Research Analysts (SOC code 15-2031),New Mexico (35-00000),500.00,12.70,43.91,"91,340.00",2.40,23.56,30.79,37.47,54.34,69.06,"49,000.00","64,030.00","77,930.00","113,030.00","143,640.00",0.58,0.83
Operations Research Analysts (SOC code 15-2031),New York (36-00000),"6,020.00",7.70,56.30,"117,110.00",3.40,25.61,36.62,52.62,67.38,87.13,"53,270.00","76,180.00","109,440.00","140,150.00","181,240.00",0.63,0.90
Operations Research Analysts (SOC code 15-2031),North Carolina (37-00000),"2,520.00",3.40,47.55,"98,910.00",1.10,28.68,34.79,48.38,59.68,62.67,"59,650.00","72,360.00","100,630.00","124,130.00","130,350.00",0.51,0.74
Operations Research Analysts (SOC code 15-2031),North Dakota (38-00000),140.00,7.90,39.16,"81,460.00",2.10,24.93,30.71,38.50,45.90,49.39,"51,860.00","63,870.00","80,080.00","95,460.00","102,730.00",0.32,0.46
Operations Research Analysts (SOC code 15-2031),Ohio (39-00000),"2,970.00",12.80,48.64,"101,160.00",2.70,27.77,35.66,50.29,60.09,65.10,"57,770.00","74,160.00","104,610.00","124,980.00","135,400.00",0.54,0.77
Operations Research Analysts (SOC code 15-2031),Oklahoma (40-00000),"1,510.00",1.90,30.67,"63,790.00",1.10,19.40,25.01,30.06,30.83,46.30,"40,360.00","52,030.00","62,510.00","64,130.00","96,300.00",0.89,1.28
Operations Research Analysts (SOC code 15-2031),Oregon (41-00000),"2,590.00",5.10,48.87,"101,650.00",1.50,31.36,37.51,47.71,61.11,67.83,"65,230.00","78,020.00","99,250.00","127,100.00","141,080.00",1.32,1.89
Operations Research Analysts (SOC code 15-2031),Pennsylvania (42-00000),"3,030.00",3.70,41.10,"85,490.00",1.80,24.68,28.19,36.42,49.00,64.90,"51,330.00","58,620.00","75,760.00","101,910.00","134,990.00",0.50,0.72
Operations Research Analysts (SOC code 15-2031),Puerto Rico (72-00000),60.00,38.50,33.19,"69,040.00",10.40,19.62,24.70,29.79,42.74,44.54,"40,820.00","51,370.00","61,950.00","88,910.00","92,640.00",0.06,0.09
Operations Research Analysts (SOC code 15-2031),Rhode Island (44-00000),270.00,25.40,52.68,"109,570.00",19.20,28.61,28.67,41.41,74.81,96.15,"59,500.00","59,630.00","86,120.00","155,600.00","199,990.00",0.54,0.77
Operations Research Analysts (SOC code 15-2031),South Carolina (45-00000),"1,210.00",17.00,39.48,"82,120.00",3.10,26.04,29.53,36.00,46.83,58.12,"54,150.00","61,420.00","74,880.00","97,410.00","120,900.00",0.53,0.76
Operations Research Analysts (SOC code 15-2031),Tennessee (47-00000),"1,240.00",15.70,39.91,"83,020.00",4.90,24.20,27.45,36.23,50.21,61.68,"50,330.00","57,090.00","75,370.00","104,430.00","128,290.00",0.38,0.54
Operations Research Analysts (SOC code 15-2031),Texas (48-00000),"12,240.00",11.00,48.60,"101,100.00",4.00,26.97,31.76,46.47,57.72,83.36,"56,090.00","66,050.00","96,660.00","120,060.00","173,380.00",0.88,1.26
Operations Research Analysts (SOC code 15-2031),Utah (49-00000),"1,090.00",5.40,40.79,"84,840.00",2.60,20.81,29.20,39.54,49.05,59.80,"43,280.00","60,730.00","82,230.00","102,020.00","124,380.00",0.64,0.91
Operations Research Analysts (SOC code 15-2031),Vermont (50-00000),120.00,20.10,50.02,"104,040.00",8.60,30.35,36.41,52.31,63.51,64.91,"63,120.00","75,730.00","108,800.00","132,100.00","135,000.00",0.39,0.56
Operations Research Analysts (SOC code 15-2031),Virginia (51-00000),"6,320.00",5.30,58.98,"122,680.00",1.40,29.68,42.45,59.16,73.35,87.12,"61,730.00","88,290.00","123,050.00","152,560.00","181,210.00",1.55,2.22
Operations Research Analysts (SOC code 15-2031),Washington (53-00000),"2,850.00",7.50,50.81,"105,680.00",3.50,31.69,36.62,46.39,63.43,78.29,"65,920.00","76,180.00","96,490.00","131,930.00","162,830.00",0.80,1.15
Operations Research Analysts (SOC code 15-2031),West Virginia (54-00000),220.00,12.60,36.31,"75,510.00",3.30,22.79,29.41,30.65,41.45,54.34,"47,400.00","61,160.00","63,760.00","86,210.00","113,030.00",0.32,0.46
Operations Research Analysts (SOC code 15-2031),Wisconsin (55-00000),"4,080.00",4.30,37.92,"78,880.00",1.80,23.84,28.92,36.04,43.97,54.63,"49,580.00","60,150.00","74,970.00","91,450.00","113,640.00",1.39,2.00
Computer Systems Analysts (SOC code 15-1211),Alabama (01-00000),"6,830.00",7.10,54.06,"112,430.00",2.60,31.58,39.01,49.87,63.79,79.56,"65,690.00","81,130.00","103,730.00","132,670.00","165,490.00",3.27,1.01
Computer Systems Analysts (SOC code 15-1211),Alaska (02-00000),490.00,12.40,44.13,"91,780.00",3.20,28.17,36.52,40.77,51.40,61.66,"58,600.00","75,960.00","84,800.00","106,900.00","128,250.00",1.52,0.47
Computer Systems Analysts (SOC code 15-1211),Arizona (04-00000),"10,010.00",8.20,51.41,"106,930.00",3.70,29.96,38.71,48.91,62.22,78.52,"62,320.00","80,510.00","101,730.00","129,420.00","163,320.00",3.13,0.97
